tile,264PMF c0 round0,,,,,,,H264,0,0,0,0,0,0,0
x,CYCLE,,,,,,,inter pk in,inter pk work,inter pk out,0,0,tqitq16x16 input,tqitq work,tqitq out
y,MODE,,,,,,,1,1,3,0,0,0,0,0
mode,pipe begin,input begin,input end,output begin,output end,,,sel pk in,sel pk work,sel pk out,0,0,tqitq8x8 input,tqitq work,tqitq out
PMF_8M4_0,0,2,15,23,27,,,0,0,0,0,0,0,12,0
PMF_8F4_0,13,15,28,36,40,,,Yread latancy,32x32 input cc,32x32 work cc,32x32 output cc,0,tqitq4x4 input,tqitq work,tqitq out
TQITQ_F4,,40,40,52,52,,,0,0,0,0,0,,12,0
INTER_PK8,,52,53,54,57,,,Yread latancy,16x16 input cc,16x16 work cc,16x16 output cc,0,chroma,0,0
PMF_8M4_1,57,59,72,80,84,,,2,44,-22,24,0,tqitq16x16 input,tqitq work,tqitq out
TQITQ_M4,,84,84,96,96,,,Yread latancy,8x8 input cc,8x8 work cc,8x8 output cc,0,0,0,0
INTER_PK8,,96,97,98,101,,,2,13,8,4,0,tqitq8x8 input,tqitq work,tqitq out
PMF_8M4_2,101,103,116,124,128,,,Yread latancy,4x4 input cc,4x4 work cc,4x4 output cc,0,0,0,0
TQITQ_M4,,128,128,140,140,,,0,0,0,0,0,tqitq4x4 input,tqitq work,tqitq out
INTER_PK8,,140,141,142,145,,,UVread latancy,16x16 input cc,16x16 work cc,16x16 output cc,0,0,12,1
PMF_8M4_3,145,147,160,168,172,,,0,0,0,0,0,0,0,0
TQITQ_M4,,172,172,184,184,,,UVread latancy,8x8 input cc,8x8 work cc,8x8 output cc,0,0,0,0
INTER_PK8,,184,185,186,189,,,2,26,-8,8,0,0,0,0
PMF_8F4_1,44,46,59,67,71,,,UVread latancy,4x4 input cc,4x4 work cc,4x4 output cc,0,0,0,0
PMF_8F4_2,88,90,103,111,115,,,2,6,8,2,0,0,0,0
PMF_8F4_3,132,134,147,155,159,,,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0
